,Industry,Job Title,Responsibilities,Skills,base_location,job_level,salary,salary_mid,jd_id,jd_text,edu_req,exp_req,working_hours
0,Retail,Visual Merchandiser,Conduct A/B testing on store planograms to maximize conversion.,"Visual Merchandising, Space Planning, Data Analysis",Shanghai,Junior,9k-11k/月,10.0,JD_0000,"Visual Merchandiser | Retail | Shanghai | Level: Junior | Salary: 9k-11k/月. Conduct A/B testing on store planograms to maximize conversion. Skills: Visual Merchandising, Space Planning, Data Analysis",Bachelor's,0-1年,45-50
11,Real Estate,RE Portfolio Strategist,Assess macro indicators to determine REIT sector allocations.,"Portfolio Management, Financial Analysis",Changsha,Senior,20k-24k/月,22.0,JD_0011,"RE Portfolio Strategist | Real Estate | Changsha | Level: Senior | Salary: 20k-24k/月. Assess macro indicators to determine REIT sector allocations. Skills: Portfolio Management, Financial Analysis",Bachelor's,5-10年,50-60
12,Telecom,RF Optimization Eng,Resolve interference issues in dense urban 4G/5G networks.,"RF Engineering, Telecom Fundamentals, Troubleshooting",Chongqing,Senior,15k-19k/月,17.0,JD_0012,"RF Optimization Eng | Telecom | Chongqing | Level: Senior | Salary: 15k-19k/月. Resolve interference issues in dense urban 4G/5G networks. Skills: RF Engineering, Telecom Fundamentals, Troubleshooting",Bachelor's,5-10年,45-50
13,E-Commerce,Warehouse Automation Dev,Program PLCs and WMS integrations for automated conveyor sorting systems.,"ROS, Warehouse Management Systems, IoT",Chongqing,Director,42k-51k/月,46.5,JD_0013,"Warehouse Automation Dev | E-Commerce | Chongqing | Level: Director | Salary: 42k-51k/月. Program PLCs and WMS integrations for automated conveyor sorting systems. Skills: ROS, Warehouse Management Systems, IoT",Master's,10年以上,50-60
14,Logistics,Supply Chain Security,Conduct risk assessments on high-value transit routes to prevent cargo theft.,"Supply Chain Management, Physical Security",Chongqing,Mid-level,14k-17k/月,15.5,JD_0014,"Supply Chain Security | Logistics | Chongqing | Level: Mid-level | Salary: 14k-17k/月. Conduct risk assessments on high-value transit routes to prevent cargo theft. Skills: Supply Chain Management, Physical Security",Bachelor's,1-3年,40-45
15,E-Commerce,Customer Journey Mapper,Design service blueprints to align customer support processes with post-purchase experience.,"UX Strategy, Journey Mapping, Qualitative Research",Suzhou,Mid-level,18k-23k/月,20.5,JD_0015,"Customer Journey Mapper | E-Commerce | Suzhou | Level: Mid-level | Salary: 18k-23k/月. Design service blueprints to align customer support processes with post-purchase experience. Skills: UX Strategy, Journey Mapping, Qualitative Research",Bachelor's,1-3年,45-50
16,Manufacturing,Production Scheduler,Adjust daily plans in response to unexpected machine downtime or rush orders.,"Production Planning, ERP/MRP Systems, Problem Solving",Nanjing,Lead,27k-33k/月,30.0,JD_0016,"Production Scheduler | Manufacturing | Nanjing | Level: Lead | Salary: 27k-33k/月. Adjust daily plans in response to unexpected machine downtime or rush orders. Skills: Production Planning, ERP/MRP Systems, Problem Solving",Bachelor's,3-5年,45-50
17,Energy,Energy Trader,Manage commodity price risk using derivatives and futures.,"Python, Time Series Forecasting, Risk Management",Shanghai,Manager,46k-56k/月,51.0,JD_0017,"Energy Trader | Energy | Shanghai | Level: Manager | Salary: 46k-56k/月. Manage commodity price risk using derivatives and futures. Skills: Python, Time Series Forecasting, Risk Management",Ph.D.,3-5年,50-60
18,FinTech,Quantitative Analyst,Conduct rigorous backtesting of quantitative strategies accounting for slippage and transaction costs.,"Quantitative Finance, Python",Suzhou,Junior,19k-24k/月,21.5,JD_0018,"Quantitative Analyst | FinTech | Suzhou | Level: Junior | Salary: 19k-24k/月. Conduct rigorous backtesting of quantitative strategies accounting for slippage and transaction costs. Skills: Quantitative Finance, Python",High School,0-1年,<40
19,Energy,Renewable Analyst,Analyze nodal pricing trends for PPA (Power Purchase Agreement).,"Energy Yield Modeling, Energy Markets, Data Analysis",Wuhan,Senior,16k-20k/月,18.0,JD_0019,"Renewable Analyst | Energy | Wuhan | Level: Senior | Salary: 16k-20k/月. Analyze nodal pricing trends for PPA (Power Purchase Agreement). Skills: Energy Yield Modeling, Energy Markets, Data Analysis",Bachelor's,3-5年,40-45
20,Gaming,UI/UX Game Designer,Conduct eye-tracking studies to evaluate cognitive load during gameplay.,"Wireframing, Figma, Adobe Suite",Nanjing,Manager,27k-32k/月,29.5,JD_0020,"UI/UX Game Designer | Gaming | Nanjing | Level: Manager | Salary: 27k-32k/月. Conduct eye-tracking studies to evaluate cognitive load during gameplay. Skills: Wireframing, Figma, Adobe Suite",Master's,10年以上,45-50
21,Real Estate,Investment Analyst,Perform financial due diligence on multi-family assets.,"Underwriting, Due Diligence, Excel",Chengdu,Lead,18k-22k/月,20.0,JD_0021,"Investment Analyst | Real Estate | Chengdu | Level: Lead | Salary: 18k-22k/月. Perform financial due diligence on multi-family assets. Skills: Underwriting, Due Diligence, Excel",Bachelor's,10年以上,45-50
22,Real Estate,Smart Building Arch,"Design IoT networks integrating HVAC, lighting, and security.","IoT Architecture, Network Security",Guangzhou,VP,59k-72k/月,65.5,JD_0022,"Smart Building Arch | Real Estate | Guangzhou | Level: VP | Salary: 59k-72k/月. Design IoT networks integrating HVAC, lighting, and security. Skills: IoT Architecture, Network Security",Master's,5-10年,45-50
23,Healthcare,Clinical Trial Coordinator,Ensure rigorous compliance with Good Clinical Practice (GCP) and specific trial protocols.,"Clinical Trials, GCP",Zhengzhou,Senior,17k-21k/月,19.0,JD_0023,"Clinical Trial Coordinator | Healthcare | Zhengzhou | Level: Senior | Salary: 17k-21k/月. Ensure rigorous compliance with Good Clinical Practice (GCP) and specific trial protocols. Skills: Clinical Trials, GCP",Bachelor's,3-5年,>60
24,Retail,Shopper Insights,Design ethnographic studies to understand shopper behavior.,"Qualitative Research, Market Research, Data Visualization",Chongqing,Lead,14k-17k/月,15.5,JD_0024,"Shopper Insights | Retail | Chongqing | Level: Lead | Salary: 14k-17k/月. Design ethnographic studies to understand shopper behavior. Skills: Qualitative Research, Market Research, Data Visualization",Bachelor's,5-10年,50-60
25,Manufacturing,Materials Scientist,"Conduct failure analysis (SEM, XRD) on fatigued mechanical components.","Materials Science, Design of Experiments (DOE), Spectroscopy",Tianjin,Mid-level,13k-16k/月,14.5,JD_0025,"Materials Scientist | Manufacturing | Tianjin | Level: Mid-level | Salary: 13k-16k/月. Conduct failure analysis (SEM, XRD) on fatigued mechanical components. Skills: Materials Science, Design of Experiments (DOE), Spectroscopy",Bachelor's,3-5年,40-45
26,FinTech,Quantitative Analyst,Implement stochastic volatility models and Monte Carlo simulations for derivative pricing.,"Stochastic Calculus, Quantitative Finance, C++, Python",Chengdu,Director,72k-88k/月,80.0,JD_0026,"Quantitative Analyst | FinTech | Chengdu | Level: Director | Salary: 72k-88k/月. Implement stochastic volatility models and Monte Carlo simulations for derivative pricing. Skills: Stochastic Calculus, Quantitative Finance, C++, Python",Ph.D.,10年以上,50-60
27,Gaming,Anti-Cheat Engineer,Reverse-engineer aimbots and wallhacks to develop detection signatures.,"Reverse Engineering, Cybersecurity",Suzhou,Mid-level,15k-19k/月,17.0,JD_0027,"Anti-Cheat Engineer | Gaming | Suzhou | Level: Mid-level | Salary: 15k-19k/月. Reverse-engineer aimbots and wallhacks to develop detection signatures. Skills: Reverse Engineering, Cybersecurity",Bachelor's,3-5年,50-60
28,Media,Audience Analytics,Segment audiences by engagement patterns to target marketing.,"Audience Segmentation, Predictive Modeling, SQL, Tableau",Nanjing,Lead,20k-25k/月,22.5,JD_0028,"Audience Analytics | Media | Nanjing | Level: Lead | Salary: 20k-25k/月. Segment audiences by engagement patterns to target marketing. Skills: Audience Segmentation, Predictive Modeling, SQL, Tableau",Ph.D.,5-10年,50-60
29,Logistics,Last-Mile Delivery Spec,Analyze proof-of-delivery (POD) metrics to reduce failed attempts and theft.,"Logistics Planning, Data Analysis",Wuhan,Senior,21k-25k/月,23.0,JD_0029,"Last-Mile Delivery Spec | Logistics | Wuhan | Level: Senior | Salary: 21k-25k/月. Analyze proof-of-delivery (POD) metrics to reduce failed attempts and theft. Skills: Logistics Planning, Data Analysis",Bachelor's,3-5年,40-45
30,FinTech,Investment Banker,Prepare comprehensive pitch books and CIMs for capital raising and private placements.,"Financial Modeling, Excel, Corporate Finance",Wuhan,Senior,34k-42k/月,38.0,JD_0030,"Investment Banker | FinTech | Wuhan | Level: Senior | Salary: 34k-42k/月. Prepare comprehensive pitch books and CIMs for capital raising and private placements. Skills: Financial Modeling, Excel, Corporate Finance",Master's,5-10年,50-60
31,E-Commerce,Warehouse Automation Dev,Optimize picking paths for autonomous mobile robots (AMRs) using graph traversal algorithms.,"ROS, Warehouse Management Systems, IoT",Shenzhen,Lead,28k-34k/月,31.0,JD_0031,"Warehouse Automation Dev | E-Commerce | Shenzhen | Level: Lead | Salary: 28k-34k/月. Optimize picking paths for autonomous mobile robots (AMRs) using graph traversal algorithms. Skills: ROS, Warehouse Management Systems, IoT",Bachelor's,3-5年,45-50
32,Real Estate,Project Controller,Develop EVM dashboards for large-scale capital projects.,"Earned Value Management, Project Controls, Procore, Excel",Shanghai,Senior,27k-33k/月,30.0,JD_0032,"Project Controller | Real Estate | Shanghai | Level: Senior | Salary: 27k-33k/月. Develop EVM dashboards for large-scale capital projects. Skills: Earned Value Management, Project Controls, Procore, Excel",Bachelor's,10年以上,45-50
33,Telecom,Signal Processing Eng,Design advanced modulation schemes for satellite comms.,"Signal Processing, Information Theory, MATLAB, DSP, C/C++",Nanjing,Manager,23k-28k/月,25.5,JD_0033,"Signal Processing Eng | Telecom | Nanjing | Level: Manager | Salary: 23k-28k/月. Design advanced modulation schemes for satellite comms. Skills: Signal Processing, Information Theory, MATLAB, DSP, C/C++",Bachelor's,10年以上,>60
34,Logistics,Freight Forwarder,Negotiate spot and contract rates with ocean carriers and airlines.,"Incoterms, Logistics Coordination",Zhengzhou,Senior,17k-21k/月,19.0,JD_0034,"Freight Forwarder | Logistics | Zhengzhou | Level: Senior | Salary: 17k-21k/月. Negotiate spot and contract rates with ocean carriers and airlines. Skills: Incoterms, Logistics Coordination",High School,3-5年,45-50
35,Telecom,OSS/BSS Developer,Maintain microservices for real-time network alarm monitoring.,"OSS/BSS Systems, Telecom Standards, Java, Microservices, API Development",Beijing,Senior,16k-20k/月,18.0,JD_0035,"OSS/BSS Developer | Telecom | Beijing | Level: Senior | Salary: 16k-20k/月. Maintain microservices for real-time network alarm monitoring. Skills: OSS/BSS Systems, Telecom Standards, Java, Microservices, API Development",High School,1-3年,45-50
36,Telecom,Fiber Planner,Coordinate right-of-way permitting for fiber trenching projects.,"OSP Design, GIS (ArcGIS/QGIS), Optical Engineering, AutoCAD",Zhengzhou,Mid-level,12k-14k/月,13.0,JD_0036,"Fiber Planner | Telecom | Zhengzhou | Level: Mid-level | Salary: 12k-14k/月. Coordinate right-of-way permitting for fiber trenching projects. Skills: OSP Design, GIS (ArcGIS/QGIS), Optical Engineering, AutoCAD",Bachelor's,3-5年,50-60
37,Gaming,Technical Narrative,Implement branching dialogue trees using scripting languages like Lua.,"Scripting (Lua/Python), Logic Design, Game Engines, Creative Writing",Suzhou,Senior,32k-39k/月,35.5,JD_0037,"Technical Narrative | Gaming | Suzhou | Level: Senior | Salary: 32k-39k/月. Implement branching dialogue trees using scripting languages like Lua. Skills: Scripting (Lua/Python), Logic Design, Game Engines, Creative Writing",Bachelor's,5-10年,50-60
38,Energy,Smart Grid Engineer,Develop optimal power flow algorithms for microgrid control.,"Power Systems Engineering, Python",Shenzhen,Senior,29k-35k/月,32.0,JD_0038,"Smart Grid Engineer | Energy | Shenzhen | Level: Senior | Salary: 29k-35k/月. Develop optimal power flow algorithms for microgrid control. Skills: Power Systems Engineering, Python",Bachelor's,3-5年,50-60
39,E-Commerce,Search Relevance Engineer,Develop dense vector retrieval systems using fine-tuned BERT embeddings for semantic search.,"Elasticsearch, Learning to Rank, Python, NLP",Xi'an,Junior,9k-11k/月,10.0,JD_0039,"Search Relevance Engineer | E-Commerce | Xi'an | Level: Junior | Salary: 9k-11k/月. Develop dense vector retrieval systems using fine-tuned BERT embeddings for semantic search. Skills: Elasticsearch, Learning to Rank, Python, NLP",Bachelor's,0-1年,40-45
40,Logistics,Route Optimization Eng,Implement heuristic solvers for the CVRPTW using OR-Tools.,"OR-Tools, Optimization Algorithms, GIS",Guangzhou,Junior,7k-9k/月,8.0,JD_0040,"Route Optimization Eng | Logistics | Guangzhou | Level: Junior | Salary: 7k-9k/月. Implement heuristic solvers for the CVRPTW using OR-Tools. Skills: OR-Tools, Optimization Algorithms, GIS",Bachelor's,0-1年,50-60
41,Energy,Carbon Credit Auditor,Verify carbon sequestration claims for nature-based solutions.,"Carbon Auditing, Regulatory Frameworks, Data Verification",Chongqing,Lead,26k-32k/月,29.0,JD_0041,"Carbon Credit Auditor | Energy | Chongqing | Level: Lead | Salary: 26k-32k/月. Verify carbon sequestration claims for nature-based solutions. Skills: Carbon Auditing, Regulatory Frameworks, Data Verification",Bachelor's,10年以上,45-50
42,Gaming,Graphics Engine Dev,Write custom shaders for post-processing effects and environmental lighting.,"DirectX/Vulkan, Shader Programming, C++, Computer Graphics",Tianjin,Lead,28k-34k/月,31.0,JD_0042,"Graphics Engine Dev | Gaming | Tianjin | Level: Lead | Salary: 28k-34k/月. Write custom shaders for post-processing effects and environmental lighting. Skills: DirectX/Vulkan, Shader Programming, C++, Computer Graphics",Bachelor's,10年以上,40-45
43,Manufacturing,Smart Factory Consultant,Lead change management initiatives to upskill the workforce for data-driven ops.,"Industry 4.0, Manufacturing Execution Systems (MES), Change Management",Hangzhou,Lead,19k-24k/月,21.5,JD_0043,"Smart Factory Consultant | Manufacturing | Hangzhou | Level: Lead | Salary: 19k-24k/月. Lead change management initiatives to upskill the workforce for data-driven ops. Skills: Industry 4.0, Manufacturing Execution Systems (MES), Change Management",Bachelor's,3-5年,40-45
44,Real Estate,Smart Building Arch,Ensure the cybersecurity of operational technology (OT) networks.,"BMS Systems, IoT Architecture, Python, Systems Integration",Beijing,Intern,5k-7k/月,6.0,JD_0044,"Smart Building Arch | Real Estate | Beijing | Level: Intern | Salary: 5k-7k/月. Ensure the cybersecurity of operational technology (OT) networks. Skills: BMS Systems, IoT Architecture, Python, Systems Integration",High School,0年,45-50
45,E-Commerce,Supply Chain Planner,Coordinate with overseas suppliers to mitigate lead-time variability and port congestions.,"Demand Forecasting, Supply Chain Management, ERP Systems",Changsha,Mid-level,16k-19k/月,17.5,JD_0045,"Supply Chain Planner | E-Commerce | Changsha | Level: Mid-level | Salary: 16k-19k/月. Coordinate with overseas suppliers to mitigate lead-time variability and port congestions. Skills: Demand Forecasting, Supply Chain Management, ERP Systems",Master's,5-10年,45-50
46,Retail,Visual Merchandiser,Analyze foot-traffic heatmaps to optimize store layout design.,"Visual Merchandising, Space Planning, A/B Testing",Wuhan,Mid-level,8k-10k/月,9.0,JD_0046,"Visual Merchandiser | Retail | Wuhan | Level: Mid-level | Salary: 8k-10k/月. Analyze foot-traffic heatmaps to optimize store layout design. Skills: Visual Merchandising, Space Planning, A/B Testing",Master's,1-3年,50-60
47,Real Estate,Investment Analyst,Perform financial due diligence on multi-family assets.,"Underwriting, Due Diligence, Financial Modeling, Corporate Finance",Zhengzhou,Lead,24k-29k/月,26.5,JD_0047,"Investment Analyst | Real Estate | Zhengzhou | Level: Lead | Salary: 24k-29k/月. Perform financial due diligence on multi-family assets. Skills: Underwriting, Due Diligence, Financial Modeling, Corporate Finance",Bachelor's,5-10年,40-45
48,Manufacturing,Smart Factory Consultant,Lead change management initiatives to upskill the workforce for data-driven ops.,"Industry 4.0, Manufacturing Execution Systems (MES), Consulting",Tianjin,Manager,27k-33k/月,30.0,JD_0048,"Smart Factory Consultant | Manufacturing | Tianjin | Level: Manager | Salary: 27k-33k/月. Lead change management initiatives to upskill the workforce for data-driven ops. Skills: Industry 4.0, Manufacturing Execution Systems (MES), Consulting",Master's,5-10年,50-60
49,E-Commerce,Customer Journey Mapper,Design service blueprints to align customer support processes with post-purchase experience.,"UX Strategy, Journey Mapping, Qualitative Research, Data Visualization",Chongqing,Mid-level,15k-18k/月,16.5,JD_0049,"Customer Journey Mapper | E-Commerce | Chongqing | Level: Mid-level | Salary: 15k-18k/月. Design service blueprints to align customer support processes with post-purchase experience. Skills: UX Strategy, Journey Mapping, Qualitative Research, Data Visualization",Master's,1-3年,50-60
50,Logistics,Supply Chain Security,Conduct risk assessments on high-value transit routes to prevent cargo theft.,"Supply Chain Management, Physical Security, IoT Security",Chongqing,Lead,15k-18k/月,16.5,JD_0050,"Supply Chain Security | Logistics | Chongqing | Level: Lead | Salary: 15k-18k/月. Conduct risk assessments on high-value transit routes to prevent cargo theft. Skills: Supply Chain Management, Physical Security, IoT Security",Bachelor's,5-10年,50-60
51,Energy,Energy Trader,Forecast LMP (Locational Marginal Price) using weather data.,"Algorithmic Trading, Time Series Forecasting, Risk Management",Guangzhou,Junior,15k-18k/月,16.5,JD_0051,"Energy Trader | Energy | Guangzhou | Level: Junior | Salary: 15k-18k/月. Forecast LMP (Locational Marginal Price) using weather data. Skills: Algorithmic Trading, Time Series Forecasting, Risk Management",Bachelor's,1-3年,45-50
52,Real Estate,Leasing Ops Lead,Analyze tenant roll-over risk and develop retention strategies.,"Operations Management, Data Analysis",Chengdu,Mid-level,16k-20k/月,18.0,JD_0052,"Leasing Ops Lead | Real Estate | Chengdu | Level: Mid-level | Salary: 16k-20k/月. Analyze tenant roll-over risk and develop retention strategies. Skills: Operations Management, Data Analysis",Bachelor's,3-5年,50-60
53,Real Estate,Leasing Ops Lead,Monitor local market rent growth to inform pricing strategy.,"Property Management Software, Negotiation",Wuhan,Junior,6k-8k/月,7.0,JD_0053,"Leasing Ops Lead | Real Estate | Wuhan | Level: Junior | Salary: 6k-8k/月. Monitor local market rent growth to inform pricing strategy. Skills: Property Management Software, Negotiation",Bachelor's,0年,40-45
54,Energy,Renewable Analyst,Model energy yield for utility-scale solar and wind projects.,"Energy Markets, Data Analysis",Wuhan,Mid-level,12k-15k/月,13.5,JD_0054,"Renewable Analyst | Energy | Wuhan | Level: Mid-level | Salary: 12k-15k/月. Model energy yield for utility-scale solar and wind projects. Skills: Energy Markets, Data Analysis",Bachelor's,1-3年,40-45
55,Real Estate,Valuation Analyst,Construct DCF models for commercial property acquisitions.,"Argus, Real Estate Economics, Financial Modeling, Valuation, Excel",Beijing,Lead,22k-27k/月,24.5,JD_0055,"Valuation Analyst | Real Estate | Beijing | Level: Lead | Salary: 22k-27k/月. Construct DCF models for commercial property acquisitions. Skills: Argus, Real Estate Economics, Financial Modeling, Valuation, Excel",High School,3-5年,40-45
56,Telecom,VoIP Admin,Troubleshoot call flow issues using packet capture analysis.,"SIP/VoIP, Networking (QoS)",Nanjing,Manager,23k-29k/月,26.0,JD_0056,"VoIP Admin | Telecom | Nanjing | Level: Manager | Salary: 23k-29k/月. Troubleshoot call flow issues using packet capture analysis. Skills: SIP/VoIP, Networking (QoS)",Master's,10年以上,50-60
57,FinTech,Blockchain Developer,Design and deploy secure smart contracts on Ethereum for decentralized finance (DeFi) lending protocols.,"Ethereum, Go",Guangzhou,Mid-level,32k-39k/月,35.5,JD_0057,"Blockchain Developer | FinTech | Guangzhou | Level: Mid-level | Salary: 32k-39k/月. Design and deploy secure smart contracts on Ethereum for decentralized finance (DeFi) lending protocols. Skills: Ethereum, Go",Master's,10年以上,>60
58,Media,Sound Engine Dev,Develop spatial audio algorithms for immersive VR experiences.,"Audio Programming, C++, Acoustics",Chongqing,Senior,19k-23k/月,21.0,JD_0058,"Sound Engine Dev | Media | Chongqing | Level: Senior | Salary: 19k-23k/月. Develop spatial audio algorithms for immersive VR experiences. Skills: Audio Programming, C++, Acoustics",Bachelor's,3-5年,40-45
59,Energy,Reservoir Engineer,Evaluate technical viability of workovers and completions.,"Reservoir Simulation, Petroleum Engineering, Decline Curve Analysis",Tianjin,Lead,32k-39k/月,35.5,JD_0059,"Reservoir Engineer | Energy | Tianjin | Level: Lead | Salary: 32k-39k/月. Evaluate technical viability of workovers and completions. Skills: Reservoir Simulation, Petroleum Engineering, Decline Curve Analysis",Bachelor's,5-10年,>60
60,Retail,Buying Coordinator,Communicate with vendors regarding quality and delivery issues.,"Vendor Management, Excel, Data Entry",Zhengzhou,Director,17k-21k/月,19.0,JD_0060,"Buying Coordinator | Retail | Zhengzhou | Level: Director | Salary: 17k-21k/月. Communicate with vendors regarding quality and delivery issues. Skills: Vendor Management, Excel, Data Entry",Master's,10年以上,50-60
61,Energy,Utility Data Scientist,Develop customer segmentation for demand response programs.,"Time Series Analysis, Big Data (Spark), Python",Chongqing,Senior,22k-26k/月,24.0,JD_0061,"Utility Data Scientist | Energy | Chongqing | Level: Senior | Salary: 22k-26k/月. Develop customer segmentation for demand response programs. Skills: Time Series Analysis, Big Data (Spark), Python",Bachelor's,5-10年,45-50
62,Retail,Store Planner,Manage store-to-store inventory transfers to balance supply.,"Inventory Planning, Retail Math, Data Analysis",Chengdu,Mid-level,8k-10k/月,9.0,JD_0062,"Store Planner | Retail | Chengdu | Level: Mid-level | Salary: 8k-10k/月. Manage store-to-store inventory transfers to balance supply. Skills: Inventory Planning, Retail Math, Data Analysis",Bachelor's,3-5年,45-50
63,Logistics,Freight Forwarder,"Manage preparation of bills of lading, commercial invoices, and letters of credit.","Freight Forwarding, Incoterms, Logistics Coordination",Changsha,Senior,18k-22k/月,20.0,JD_0063,"Freight Forwarder | Logistics | Changsha | Level: Senior | Salary: 18k-22k/月. Manage preparation of bills of lading, commercial invoices, and letters of credit. Skills: Freight Forwarding, Incoterms, Logistics Coordination",Master's,10年以上,45-50
64,Education Technology,Online Tutor Coordinator,Analyze post-session survey data and transcripts to evaluate tutor quality.,"Operations Management, Training",Chengdu,Mid-level,13k-16k/月,14.5,JD_0064,"Online Tutor Coordinator | Education Technology | Chengdu | Level: Mid-level | Salary: 13k-16k/月. Analyze post-session survey data and transcripts to evaluate tutor quality. Skills: Operations Management, Training",Bachelor's,3-5年,45-50
65,Retail,Inv Optimization Lead,Develop stochastic models for determining safety stock levels.,Inventory Optimization,Hangzhou,VP,39k-48k/月,43.5,JD_0065,Inv Optimization Lead | Retail | Hangzhou | Level: VP | Salary: 39k-48k/月. Develop stochastic models for determining safety stock levels. Skills: Inventory Optimization,Master's,10年以上,50-60
66,Education Technology,Curriculum Data Scientist,Correlate specific module completion rates with standardized test performance.,"NLP, Machine Learning, Python, SQL",Zhengzhou,Senior,14k-18k/月,16.0,JD_0066,"Curriculum Data Scientist | Education Technology | Zhengzhou | Level: Senior | Salary: 14k-18k/月. Correlate specific module completion rates with standardized test performance. Skills: NLP, Machine Learning, Python, SQL",Bachelor's,3-5年,50-60
67,Education Technology,UX Researcher (Edu),Conduct usability testing with K-12 students for age-appropriate interface design.,"Qualitative Research, HCI",Chengdu,Lead,22k-27k/月,24.5,JD_0067,"UX Researcher (Edu) | Education Technology | Chengdu | Level: Lead | Salary: 22k-27k/月. Conduct usability testing with K-12 students for age-appropriate interface design. Skills: Qualitative Research, HCI",Bachelor's,10年以上,45-50
68,Telecom,VoIP Admin,Configure and maintain SIP trunking and Session Border Controllers.,SIP/VoIP,Shanghai,Intern,6k-7k/月,6.5,JD_0068,VoIP Admin | Telecom | Shanghai | Level: Intern | Salary: 6k-7k/月. Configure and maintain SIP trunking and Session Border Controllers. Skills: SIP/VoIP,Bachelor's,0年,40-45
