record_id,years_experience,expected_salary_k,age,weekly_hours,num_applications,gender,job_level,industry,city,education_level,political_affiliation,expected_title,skills,education_ordinal,job_level_ordinal,ground_truth_jd_id
REC_00018,3.0,25.0,28.0,44.9,7.0,Male,Mid-level,Education Technology,Wuhan,Ph.D.,Non-affiliated,Learning Scientist,"NLP, Predictive Modeling, HCI, Behavioral Psychology, Wireframing, API Development, Cloud Computing, Data Analysis",3.0,2,JD_1928
REC_00019,5.0,19.5,26.0,47.8,8.0,Female,Senior,FinTech,Changsha,Bachelor's,CPC Member,Fraud Analyst,"Basel III, Market Microstructure, Go, M&A, Time Series Analysis",1.0,3,JD_1631
REC_00020,12.0,53.0,35.0,47.7,8.0,Female,Director,Media,Xi'an,Master's,Non-affiliated,Digital Rights Manager,"Video Codecs (H.264/H.265), RF Engineering, DSP, FFmpeg, Copywriting, Project Management, Tableau, Broadcast Engineering",2.0,6,JD_0637
REC_00021,6.0,22.0,28.0,55.3,10.0,Male,Senior,Healthcare,Beijing,Bachelor's,Non-affiliated,Informatics Health Specialist,"Bash/Shell, EDC Systems, Deep Learning, Survival Analysis, Network Security, Study Design, Genetics, Compliance Auditing",1.0,3,JD_0023
REC_00022,14.0,38.0,40.0,44.6,10.0,Male,Director,Healthcare,Chongqing,High School,CPC Member,Epidemiologist,"Survival Analysis, IoT Integration, Deep Learning, System Architecture, Epidemiology",0.0,6,JD_1788
REC_00023,15.0,40.0,38.0,56.5,8.0,Female,Manager,FinTech,Shenzhen,Ph.D.,CPC Member,Algorithmic Trader,"System Architecture, M&A, Risk Assessment, Ethereum, NetworkX, Java",3.0,5,JD_0814
REC_00024,10.0,,36.0,50.9,12.0,Male,Director,FinTech,Chengdu,Bachelor's,CPC Member,Blockchain Developer,"Algorithmic Trading, Excel, SAS, PCI-DSS, Anomaly Detection, Quantitative Finance, AML/KYC, Logistic Regression",1.0,6,JD_1155
REC_00025,3.0,,31.0,44.7,9.0,Male,Junior,Education Technology,Zhengzhou,Ph.D.,CPC Member,Adaptive Learning Dev,"Predictive Modeling, Educational Data Mining, Java/C#, API Development, Cognitive Science, Qualitative Research",3.0,1,JD_0115
REC_00026,11.0,27.0,33.0,42.7,6.0,Female,Senior,Telecom,Shenzhen,,Non-affiliated,Billing Specialist,"Troubleshooting, Linux, DDoS Mitigation, Telecom Standards, RF Engineering",,3,JD_0212
REC_00027,1.0,5.0,25.0,48.6,8.0,Female,Intern,Energy,Changsha,Bachelor's,Non-affiliated,Smart Grid Engineer,"Energy Markets, Reservoir Simulation, Big Data (Spark), MATLAB, Environmental Comp, Carbon Auditing, Time Series Forecasting, Thermodynamics",1.0,0,JD_0160
REC_00028,17.0,40.0,42.0,42.1,8.0,Female,Manager,Energy,Shanghai,Master's,Non-affiliated,Reservoir Engineer,"Energy Yield Modeling, Economics, Environmental Science, Regulatory Frameworks, Reservoir Simulation, Control Theory",2.0,5,JD_0083
REC_00029,2.0,21.0,28.0,38.0,9.0,Male,Mid-level,Energy,Chongqing,Bachelor's,Non-affiliated,HSE Compliance Lead,"Algorithmic Trading, Economics, MATLAB/Simulink, Time Series Forecasting, ESG Reporting",1.0,2,JD_0502
REC_00030,2.0,25.0,27.0,39.7,10.0,Female,Mid-level,Logistics,Changsha,,Non-affiliated,Route Optimization Eng,"IoT Security, Python, Vendor Management, Urban Logistics, Physical Security, Excel/VBA, Freight Forwarding",,2,JD_0541
REC_00031,12.0,50.0,35.0,35.1,9.0,Female,Lead,Healthcare,Beijing,High School,CPC Member,Epidemiologist,"Health Informatics, Database Admin, HIPAA/HITECH, Deep Learning, GATK, Data Privacy, JavaScript",0.0,4,JD_1003
REC_00032,6.0,24.0,30.0,51.4,9.0,Female,Mid-level,Retail,Tianjin,Ph.D.,Democratic Party Member,Loss Prevention Spec,"ERP Systems, Inventory Optimization, Inventory Planning, Visual Merchandising, CRM Systems (Salesforce), Procurement",3.0,2,JD_0242
REC_00033,0.0,,24.0,39.1,9.0,Male,Junior,Logistics,Tianjin,Master's,Non-affiliated,IoT Telemetry Analyst,"IoT Security, Urban Logistics, Spark, HTS Classification, Compliance, Data Analysis, Optimization Algorithms",2.0,1,JD_0040
REC_00034,1.0,10.0,25.0,,7.0,Female,Junior,FinTech,Tianjin,Master's,CPC Member,Algorithmic Trader,"Kdb+/Q, Excel, Java, Stress Testing, Go, SQL",2.0,1,JD_0157
REC_00035,7.0,25.0,27.0,47.3,8.0,Female,Lead,E-Commerce,,Bachelor's,CPC Member,Catalog Manager,"ERP Systems, Data Governance, Cohort Analysis, Data Visualization, NLP, Web Analytics, SQL",1.0,4,JD_0824
REC_00036,1.0,16.0,28.0,,13.0,Male,Junior,Media,Shanghai,Bachelor's,Non-affiliated,Broadcast Developer,"High Throughput, System Architecture, Java/Go, Data Analysis, Networking, Pipeline Development",1.0,1,JD_1173
REC_00037,,35.0,37.0,42.5,11.0,Female,Lead,Real Estate,Tianjin,Bachelor's,Non-affiliated,Leasing Ops Lead,"Python (GeoPandas), Property Management Software, IoT Architecture, Argus, BIM Coordination, Data Analysis, PropTech Market, Data Visualization",1.0,4,JD_0409
REC_00038,12.0,40.0,37.0,36.0,8.0,Male,Lead,Logistics,Shenzhen,Master's,Non-affiliated,Supply Chain Security,"Urban Logistics, Time Series Forecasting, Logistics Planning, Process Optimization, Supply Chain Law, Inventory Management, Freight Forwarding",2.0,4,JD_1450
REC_00039,3.0,21.0,29.0,39.2,4.0,Female,Mid-level,Real Estate,Hangzhou,Master's,,Smart Building Arch,"Risk Modeling, Construction Knowledge, AutoCAD, Operations Management, Python (GeoPandas), Lease Administration",2.0,2,JD_0979
REC_00040,7.0,20.0,31.0,47.7,6.0,Male,Senior,Gaming,Beijing,Bachelor's,,Server Infra Eng,"3D Math, Psychometrics, Wireframing, Shader Programming, Project Management, Communication",1.0,3,JD_0558
REC_00041,8.0,40.0,34.0,43.3,10.0,Female,Manager,Media,Zhengzhou,Bachelor's,CPC Member,Systems AdTech Arch,"Communication, Audience Segmentation, PyTorch, Social Media Analytics, Python, Wwise/FMOD",1.0,5,JD_0165
REC_00042,6.0,20.0,30.0,,2.0,Female,Senior,FinTech,Zhengzhou,Bachelor's,Non-affiliated,Risk Manager,"Statistical Theory, Ethereum, Payment Gateways, Anomaly Detection, Kdb+/Q, Risk Assessment, Logistic Regression",1.0,3,JD_1631
REC_00043,1.0,15.0,26.0,39.9,6.0,Male,Junior,Media,Guangzhou,Bachelor's,Non-affiliated,Broadcast Engineer,"Troubleshooting, FFmpeg, Deep Learning, Communication, Project Management, AR/VR Tech",1.0,1,JD_1173
REC_00044,20.0,35.0,,44.5,6.0,Male,Director,Manufacturing,Hangzhou,Ph.D.,,IIoT Integrator,"Quality Assurance, Minitab, Project Management, Digital Twin, Python",3.0,6,JD_1233
REC_00045,14.0,,41.0,48.6,9.0,Female,Lead,Telecom,Tianjin,,Non-affiliated,Billing Analyst,"Cloud Computing, System Design, Networking (QoS), Wireshark, RF Engineering, Penetration Testing",,4,JD_0197
REC_00046,,10.0,26.0,40.0,6.0,Female,Junior,Retail,Guangzhou,High School,Non-affiliated,Insights Shopper,"CRM Systems (Salesforce), Pricing Strategy, Python, Omnichannel Retail, Supply Chain",0.0,1,JD_1311
REC_00047,1.0,10.0,22.0,45.5,11.0,Male,Junior,Retail,Hangzhou,Master's,CPC Member,Buying Coordinator,"Data Analysis, Excel, Inventory Planning, Procurement, Space Planning, Data Visualization",2.0,1,JD_1740
REC_00048,12.0,,37.0,45.0,5.0,Female,Lead,Telecom,Chengdu,Master's,Non-affiliated,OSS/BSS Developer,"Regulatory Compliance, SQL, Operations Management, Telecom Standards, Networking (QoS), SBC Config, Wireshark, NFV/SDN",2.0,4,JD_0197
REC_00049,3.0,15.0,31.0,38.9,3.0,Male,Junior,Real Estate,Chengdu,Bachelor's,Non-affiliated,Valuation Analyst,"Financial Analysis, Urban Planning, BMS Systems, Due Diligence, IoT Architecture, Macroeconomics",1.0,1,JD_0673
REC_00050,7.0,20.0,32.0,35.2,2.0,Male,Senior,Logistics,Beijing,Master's,CPC Candidate,Supply Chain Security,"Telematics, Incoterms, EDI, Python, Supply Chain Law, Spark, Customs Regulations",2.0,3,JD_0206
REC_00051,3.0,10.0,31.0,49.5,20.0,Male,Junior,Healthcare,Shanghai,Master's,CPC Member,Scientist Bioinformatics,"Study Design, Database Admin, Cloud Computing (AWS/Azure), Statistical Inference, Python, Biostatistics, Genetics",2.0,1,JD_0469
REC_00052,3.0,15.0,29.0,49.8,6.0,Male,Junior,Gaming,Changsha,Master's,CPC Member,Behavior Researcher,"User Research, Live Operations, Figma, Narrative Design, Machine Learning",2.0,1,JD_1441
REC_00053,5.0,30.0,29.0,43.4,11.0,Male,Senior,Manufacturing,Wuhan,Master's,Non-affiliated,Quality Control Spec,"Robotics Programming, Lean Manufacturing, Reliability Engineering, MQTT/OPC-UA, Supply Chain Mapping, Design of Experiments (DOE), Operations Management",2.0,3,JD_1400
REC_00054,2.0,20.0,29.0,45.4,12.0,Male,Mid-level,Education Technology,Shenzhen,Bachelor's,CPC Member,Student Success Analyst,"Survey Design, Tableau/Power BI, API Development, Java/C#, Qualitative Research, Roadmapping, Agile/Scrum",1.0,2,JD_0236
REC_00055,8.0,42.0,32.0,42.2,5.0,Female,Lead,Retail,Nanjing,,CPC Member,Buying Coordinator,"SQL, Data Entry, Visual Merchandising, Data Visualization, Operations Research",,4,JD_0086
REC_00056,22.0,54.0,50.0,,8.0,Female,VP,Media,Zhengzhou,Bachelor's,Non-affiliated,Effects Visual TD,"Data Analysis, Project Management, Copyright Law, Audio Programming, Computer Graphics",1.0,7,JD_0953
REC_00057,10.0,25.0,35.0,,6.0,Male,Senior,Telecom,Zhengzhou,Bachelor's,Non-affiliated,VoIP Admin,"Atoll / Mentum Planet, GIS (ArcGIS/QGIS), Microservices, Leadership, Linux, Wireshark, Network Slicing",1.0,3,JD_0629
REC_00058,1.0,15.0,25.0,34.9,13.0,Female,Junior,Logistics,Changsha,Bachelor's,Non-affiliated,Fleet Ops Manager,"Excel/VBA, Telematics, Logistics Coordination, Supply Chain Management, OR-Tools, S&OP Process, HTS Classification, Urban Logistics",1.0,1,JD_1593
REC_00059,1.0,10.0,24.0,38.4,11.0,Female,Intern,Healthcare,Xi'an,Bachelor's,Non-affiliated,Medical Imaging Researcher,"Clinical Trials, R, Python, Legal Standards, Computer Vision",1.0,0,JD_0432
REC_00060,1.0,10.0,23.0,,2.0,Female,Junior,Media,Hangzhou,Bachelor's,Non-affiliated,Interactive Producer,"Project Management, SQL, FFmpeg, Budgeting, Computer Graphics",1.0,1,JD_0252
REC_00061,18.0,55.0,45.0,37.9,5.0,Female,Manager,Telecom,Shanghai,Bachelor's,Non-affiliated,Planner Fiber,"5G Architecture, DDoS Mitigation, Optical Engineering, Linux, MATLAB, Networking (QoS)",1.0,5,JD_1581
REC_00062,2.0,16.9,22.0,41.6,6.0,Male,Mid-level,Education Technology,Suzhou,Bachelor's,CPC Member,Gamification Expert,"User Research, Database Design, UI/UX Design, Psychometrics, Scheduling Algorithms, Algorithm Design",1.0,2,JD_0870
REC_00063,9.0,35.0,30.0,43.4,11.0,Male,Senior,Retail,Shanghai,High School,CPC Member,Inv Optimization Lead,"Loss Prevention, A/B Testing, API Integration, Category Management, Python",0.0,3,JD_0920
REC_00064,3.0,10.0,29.0,48.9,10.0,Male,Junior,Healthcare,Changsha,Master's,Non-affiliated,Patient Privacy Officer,"Bioconductor, Risk Management, Linux/Unix, Genetics, Network Security",2.0,1,JD_0469
REC_00065,8.0,39.9,35.0,46.5,4.0,Female,Senior,Education Technology,Changsha,Bachelor's,CPC Candidate,Student Success Analyst,"API Development, Data Visualization, Roadmapping, Curriculum Development, Operations Management",1.0,3,JD_0976
REC_00066,15.0,29.0,40.0,42.2,10.0,Female,Lead,Education Technology,Beijing,Master's,,Architect LMS,"Cognitive Science, Predictive Modeling, SQL, LTI Standards, Psychometrics",2.0,4,JD_0067
REC_00067,5.0,25.0,28.0,41.2,7.0,Male,Senior,FinTech,Xi'an,High School,Non-affiliated,Credit Scorer,"Stress Testing, SQL, Statistical Theory, AML/KYC, Java",0.0,3,JD_1564
REC_00068,11.0,30.0,36.0,45.0,6.0,Male,Senior,Healthcare,Xi'an,Master's,,Health Informatics Specialist,"Statistical Inference, Data Privacy, Genomics, Bash/Shell, EHR/EMR Systems, Risk Management",2.0,3,JD_1064
REC_00069,3.0,27.0,,44.3,5.0,Female,Mid-level,Real Estate,Tianjin,Master's,,Project Controller,"Procore, Data Visualization, Environmental Regs, Operations Management, BMS Systems, Spatial Databases, AutoCAD, Navisworks",2.0,2,JD_0813
REC_00070,5.0,,27.0,34.0,8.0,Male,Senior,Manufacturing,Wuhan,Bachelor's,Non-affiliated,SC Risk Manager,"Six Sigma Black Belt, Industrial Networks, Consulting, System Integration, Supply Chain Mapping, Machine Learning",1.0,3,JD_0209
REC_00071,10.0,45.0,35.0,42.2,10.0,Female,Manager,Healthcare,Beijing,Ph.D.,CPC Candidate,Biostatistician,"Survival Analysis, Mobile Development, Genetics, SQL Tuning, PyTorch, Clinical Trial Design, Regulatory Compliance, Risk Management",3.0,5,JD_1346
REC_00072,5.0,15.0,,41.7,7.0,Female,Mid-level,E-Commerce,Guangzhou,Bachelor's,Non-affiliated,Warehouse Automation Dev,"ROS, Python, Machine Learning, Supply Chain Management, SEO/SEM, Taxonomy",1.0,2,JD_0643
REC_00073,10.0,35.0,31.0,45.2,8.0,Female,Senior,Manufacturing,Hangzhou,Bachelor's,Non-affiliated,Predictive Maint Eng,"Signal Processing, Project Management, Computer Vision, Quality Assurance, Kinematics, System Integration",1.0,3,JD_1585
REC_00074,11.0,60.0,,55.0,6.0,Male,Director,Real Estate,Chongqing,Ph.D.,CPC Candidate,BIM Coordinator,"Lease Administration, Negotiation, Financial Modeling, Argus, Python/R",3.0,6,JD_1502
REC_00075,0.0,5.0,27.0,46.2,8.0,Male,Intern,Real Estate,Zhengzhou,Master's,Democratic Party Member,PropTech Product Mgr,"Excel, GIS (ArcGIS), Environmental Regs, Urban Planning, Python (GeoPandas), Valuation",2.0,0,JD_1872
REC_00076,5.0,,30.0,42.3,6.0,Male,Senior,Logistics,Hangzhou,Ph.D.,CPC Member,Fleet Ops Head of,"Risk Assessment, Urban Logistics, EDI, Optimization Algorithms, Incoterms",3.0,3,JD_0029
REC_00077,4.0,20.0,31.0,45.9,10.0,Male,Mid-level,E-Commerce,Wuhan,Master's,Non-affiliated,Personalization Specialist,"Machine Learning, Python, SQL, Data Governance, ROS, Warehouse Management Systems, ERP Systems",2.0,2,JD_0049
REC_00078,4.0,20.0,30.0,48.5,6.0,Male,Mid-level,FinTech,Hangzhou,Bachelor's,Non-affiliated,Compliance Officer,"AML/KYC, Stress Testing, Cryptography, Algorithmic Trading, Solidity, Risk Assessment",1.0,2,JD_0303
REC_00079,14.0,25.0,39.0,43.1,6.0,Male,Lead,Logistics,Shenzhen,Master's,CPC Member,Inventory Controller,"Freight Forwarding, WMS (Manhattan/Blue Yonder), Inventory Management, Logistics Coordination, GIS, Auditing, Data Analysis",2.0,4,JD_0812
REC_00080,8.0,25.0,34.0,44.8,10.0,Male,Senior,Telecom,,,Non-affiliated,Signal Processing Eng,"Telecom Standards, Telecom Fundamentals, 5G Architecture, Atoll / Mentum Planet, Optical Engineering",,3,JD_0629
REC_00081,,22.0,29.0,39.0,10.0,Female,Mid-level,Retail,Xi'an,Ph.D.,Non-affiliated,Prevention Loss Spec,"Data Entry, SQL, E-commerce, Excel, Database Management, Data Visualization, Visual Merchandising, Data Analysis",3.0,2,JD_1165
REC_00082,2.0,23.0,26.0,43.5,8.0,Male,Mid-level,Gaming,Chengdu,,Non-affiliated,UI/UX Game Designer,"Narrative Design, Project Management, Assembly, Excel, SQL, Unreal Engine",,2,JD_0079
REC_00083,5.0,22.0,31.0,51.3,7.0,Male,Mid-level,Gaming,,Bachelor's,Non-affiliated,Technical Narrative,"Wireframing, C++, UI/UX Design, Assembly, DirectX/Vulkan, Data Analysis, Unreal Engine",1.0,2,JD_0079
REC_00084,4.0,15.0,28.0,44.0,8.0,Female,Mid-level,Telecom,Tianjin,Bachelor's,Non-affiliated,OSS/BSS Developer,"Operations Management, Troubleshooting, SBC Config, Revenue Assurance, SQL, Network Security",1.0,2,JD_0667
REC_00085,1.0,10.0,25.0,47.6,4.0,Female,Intern,Real Estate,Xi'an,Ph.D.,,Valuation Analyst,"GIS (ArcGIS/QGIS), Excel, Earned Value Management, 3D Modeling, Network Security",3.0,0,JD_0659
REC_00086,5.0,15.0,34.0,41.0,6.0,Female,Mid-level,Telecom,Tianjin,High School,Non-affiliated,Processing Signal Eng,"Optical Engineering, Telecom Fundamentals, System Design, Penetration Testing, Troubleshooting",0.0,2,JD_0733
REC_00087,0.0,15.0,22.0,46.2,6.0,Female,Junior,Logistics,Shanghai,Ph.D.,,Inventory Controller,"Spark, C++, Urban Logistics, Supply Chain Management, WMS (Manhattan/Blue Yonder), Logistics Planning, Customs Regulations",3.0,1,JD_1593
REC_00088,0.0,15.0,25.0,52.8,10.0,Male,Junior,FinTech,Nanjing,Bachelor's,CPC Member,Compliance Officer,"Cryptography, Credit Risk Modeling, Regulatory Compliance, NetworkX, AML/KYC, Corporate Finance",1.0,1,JD_1118
REC_00089,14.0,50.0,40.0,54.1,13.0,Female,VP,Gaming,Wuhan,Master's,CPC Member,Anti-Cheat Engineer,"DirectX/Vulkan, Communication, Figma, Scripting (Lua/Python), Go, User Research, Unity, Cloud Architecture (AWS)",2.0,7,JD_1210
REC_00090,1.0,10.0,28.0,50.8,10.0,Female,Junior,Logistics,Chengdu,Bachelor's,Non-affiliated,Freight Forwarder,"Analytical Skills, Auditing, Customs Regulations, GIS, Telematics, Time Series Forecasting",1.0,1,JD_0188
REC_00091,1.0,5.0,28.0,45.6,4.0,Male,Intern,Gaming,Shenzhen,Master's,Non-affiliated,Live-Ops Head of,"GPU Profiling, Network Programming, C/C++, Communication, Game Engines, Machine Learning",2.0,0,JD_1957
REC_00092,0.0,13.0,25.0,,8.0,Male,Junior,Energy,Hangzhou,Ph.D.,Democratic Party Member,HSE Compliance Lead,"Time Series Analysis, PSCAD/PSS®E, Power Systems Engineering, Control Systems, Health & Safety Regulations, Plant Operations, Power System Dynamics, SQL",3.0,1,JD_0106
REC_00093,10.0,33.0,33.0,47.4,7.0,Female,Lead,Healthcare,Hangzhou,Ph.D.,Non-affiliated,Patient Privacy Officer,"SQL Tuning, Risk Management, SAS, WebRTC, Health Informatics, Survival Analysis, Medical Imaging (DICOM), Regulatory Compliance",3.0,4,JD_1947
REC_00094,3.0,,26.0,44.6,6.0,Female,Junior,Healthcare,Suzhou,Bachelor's,Non-affiliated,Patient Privacy Officer,"Epidemiology, SQL Tuning, System Architecture, Compliance Auditing, Security, Clinical Trial Design",1.0,1,JD_0156
REC_00095,2.0,15.0,27.0,33.7,5.0,Female,Junior,Education Technology,Beijing,Master's,Non-affiliated,Learning Scientist,"Instructional Design, Cloud Computing, Usability Testing, Behavioral Psychology, Java/C#, Game Design, Operations Management",2.0,1,JD_1492
REC_00096,6.0,25.0,30.0,48.4,11.0,Male,Mid-level,Retail,Suzhou,Bachelor's,Non-affiliated,Category Head of,"Operations Research, Marketing Analytics, E-commerce, CRM Systems (Salesforce), Category Management, Visual Merchandising, Space Planning",1.0,2,JD_0242
REC_00097,7.0,35.0,29.0,44.6,6.0,Female,Senior,E-Commerce,Chengdu,Master's,,Personalization Specialist,"SQL, Vector Databases, Copywriting, Demand Forecasting, Journey Mapping, Data Governance",2.0,3,JD_0495
REC_00098,8.0,20.0,33.0,42.6,3.0,Female,Senior,Gaming,Hangzhou,Bachelor's,Non-affiliated,Graphics Engine Dev,"Computer Graphics, Monetization Strategy, Shader Programming, 3D Math, Databases",1.0,3,JD_0558
REC_00099,0.0,,25.0,43.7,7.0,Male,Intern,Telecom,Nanjing,Ph.D.,Non-affiliated,Telco Operations Lead,"AutoCAD, NFV/SDN, DDoS Mitigation, Signal Processing, Operations Management, SIP/VoIP, Regulatory Compliance",3.0,0,JD_0068
REC_00100,8.0,34.7,35.0,42.2,7.0,Male,Senior,Education Technology,Changsha,Bachelor's,CPC Member,Curriculum Data Scientist,"A/B Testing, Psychometrics, API Development, Usability Testing, Scheduling Algorithms, Operations Management, Survey Design, Roadmapping",1.0,3,JD_0976
REC_00101,0.0,13.0,28.0,46.9,11.0,Female,Junior,Healthcare,Xi'an,Bachelor's,Non-affiliated,Biostatistician,"Data Privacy, Legal Standards, SQL, Mobile Development, EHR/EMR Systems, Bioconductor, System Architecture",1.0,1,JD_0156
REC_00102,,15.0,23.0,35.1,9.0,Male,Junior,Healthcare,Nanjing,Master's,Democratic Party Member,Biostatistician,"Security, Genetics, System Architecture, IoT Integration, Linux/Unix, Python",2.0,1,JD_0250
REC_00103,8.0,25.0,32.0,36.8,11.0,Male,Senior,Telecom,Suzhou,Bachelor's,,RF Optimization Eng,"Leadership, Billing Systems, Optical Engineering, Operations Management, System Design",1.0,3,JD_0629
REC_00104,10.0,25.0,34.0,43.5,12.0,Female,Senior,Gaming,Nanjing,Bachelor's,Non-affiliated,Economy Designer,"NLP, Game Theory, UI/UX Design, Network Programming, Agile, Project Management",1.0,3,JD_0558
REC_00105,7.0,13.0,30.0,38.7,12.0,Male,Mid-level,Media,Tianjin,,Non-affiliated,Visual Effects TD,"Networking, C++, Deep Learning, Pipeline Development, PyTorch, Audience Segmentation, RF Engineering, Houdini/Maya",,2,JD_0178
REC_00106,1.0,10.0,23.0,,10.0,Male,Junior,E-Commerce,,Bachelor's,,Marketer Digital,"UX Research, Data Analysis, Warehouse Management Systems, ROS, Excel, Demand Forecasting, Growth Marketing",1.0,1,JD_0993
REC_00107,12.0,30.0,36.0,44.9,4.0,Male,Senior,Healthcare,Chongqing,Bachelor's,,Genomic Data Analyst,"Linux/Unix, WebRTC, Deep Learning, Biostatistics, Cloud Computing (AWS/Azure)",1.0,3,JD_1064
REC_00108,3.0,14.7,32.0,48.7,5.0,Male,Junior,Healthcare,Changsha,Bachelor's,Non-affiliated,Bioinformatics Scientist,"HIPAA/HITECH, Risk Management, R, JavaScript, WebRTC, Patient Recruitment",1.0,1,JD_0250
REC_00109,8.0,32.0,33.0,46.5,,Female,Lead,Real Estate,Wuhan,High School,CPC Member,PropTech Product Mgr,"Cartography, Earned Value Management, 3D Modeling, Python/R, Data Visualization, GIS (ArcGIS), Revit, GIS (ArcGIS/QGIS)",0.0,4,JD_0409
REC_00110,8.0,35.0,33.0,45.1,3.0,Female,Lead,Real Estate,Tianjin,Bachelor's,Non-affiliated,Smart Building Arch,"Due Diligence, Project Controls, Revit, Navisworks, Negotiation, Corporate Finance",1.0,4,JD_0409
REC_00111,5.0,16.6,26.0,46.2,9.0,Male,Mid-level,FinTech,Hangzhou,Ph.D.,,Risk Head of,"XGBoost, Basel III, Statistical Theory, Solidity, NetworkX, Payment Gateways, Algorithmic Trading, Credit Risk Modeling",3.0,2,JD_0303
REC_00112,11.0,20.0,33.0,43.6,8.0,Male,Senior,Gaming,Zhengzhou,Ph.D.,CPC Member,Anti-Cheat Engineer,"C/C++, Figma, Unity, C#, Economy Modeling",3.0,3,JD_0191
REC_00113,1.0,15.0,23.0,,4.0,Male,Junior,Logistics,,,Non-affiliated,Warehouse Sys Analyst,"Python, IoT Platforms, C++, Supply Chain Management, Spark, Trade Compliance",,1,JD_1593
